ID,URL,Name,Make,Day/Night,Environment,ShotType,Date,No_of_faces,Captions,Action,Location
CSK Practice-35.jpg,https://drive.google.com/file/d/1xrW-RuI43CCb4UYb1iwA49P0ZGcSg1lU/view?usp=drivesdk,Moeen Ali,Fujifilm,night,outdoor,close,8/5/2023,1,"['cricketball players practice batting at a stadium', 'a batter looks over the wall at the pitch in front of the catcher', 'a person wearing a helmet and gloves walking on a cricketball field']",walking,Chennai
CSK Practice-32.jpg,https://drive.google.com/file/d/1mF7-8oPxMurxutIBQnV3o17FWClPR3H3/view?usp=drivesdk,Ajinkya Rahane,Fujifilm,night,outdoor,close,8/5/2023,1,"['a man in a helmet with a bat on his shoulder', 'the helmeted man wears the number eight in the background', 'a cricketball player wearing a batting helmet on the field']",observing,Chennai
CSK Practice-32.jpg,https://drive.google.com/file/d/1OR1pEwowiwEs0d_R1fAgvbiNWfdlNWjS/view?usp=drivesdk,Ajinkya Rahane,Fujifilm,night,outdoor,close,8/5/2023,1,"['a man wearing a catchers mask in front of stadium lights', 'a man wearing a helmet, batting face mask and a protective face', 'a cricket player standing under the shade with a helmet on']",observing,Chennai
CSK Practice-3.jpg,https://drive.google.com/file/d/1kkWs2Y-WITehBUhCXSeT-DbDkktFumRr/view?usp=drivesdk,Moeen Ali,Fujifilm,day,outdoor,close,8/5/2023,1,"['the cricket player sits by his batting cage', 'the man is taking his batting stance in the cage', 'a man sitting on the ground holding a bat']",batting,Chennai
CSK Practice-3.jpg,https://drive.google.com/file/d/1wRVt6joD3eBJd30sHD2SVITR3e0x4OgL/view?usp=drivesdk,Moeen Ali,Fujifilm,day,outdoor,close,8/5/2023,1,"['a batsman sitting on the ground with his bat in hand', 'the cricket player is looking for a way to bat', 'a man wearing yellow and blue clothing holding a cricket bat']",batting,Chennai
DSCF9789.JPG,https://drive.google.com/file/d/1IOTngvkp_4AJm8iQQEF5TVNnvu4v008o/view?usp=drivesdk,Shivam Dube,Fujifilm,day,outdoor,close,8/5/2023,2,"['two men sitting down talking while one man holds a microphone', 'two men sitting in chairs next to each other', 'two men sitting on chairs holding microphones on stage']",speaking,Chennai
DSCF9789.JPG,https://drive.google.com/file/d/1IOTngvkp_4AJm8iQQEF5TVNnvu4v008o/view?usp=drivesdk,Deepak Chahar,Fujifilm,day,outdoor,close,8/5/2023,2,"['two men sitting down talking while one man holds a microphone', 'two men sitting in chairs next to each other', 'two men sitting on chairs holding microphones on stage']",speaking,Chennai
DSCF9438.JPG,https://drive.google.com/file/d/1Y7f2ARf7angpv8_GyGJu9bJtO7AGXNHM/view?usp=drivesdk,Devon Conway,Fujifilm,day,indoor,close,5/7/2023,2,"['a man and woman playing billiard', 'a man in black hat playing a game of pool', 'a man in a hat and jacket playing pool']",playing,Chennai
DSCF9438.JPG,https://drive.google.com/file/d/1Y7f2ARf7angpv8_GyGJu9bJtO7AGXNHM/view?usp=drivesdk,Devon Conway,Fujifilm,day,outdoor,close,7/5/2023,2,"['a man is leaning over to push the cue', 'a man with his arm out on top of a table with balls on it', 'a man playing with pool balls in his living room']",playing,Chennai
DSCF9437.JPG,https://drive.google.com/file/d/1DTaViB4c4KvJcoTZoKTy1DzSvFFs9mUV/view?usp=drivesdk,Devon Conway,Fujifilm,day,indoor,close,5/7/2023,2,"['a man leans over a pool table while holding balls', 'a man playing with toys in a living room', 'a man leaning over a pool table with balls on it']",playing,Chennai
DSCF9437.JPG,https://drive.google.com/file/d/1DTaViB4c4KvJcoTZoKTy1DzSvFFs9mUV/view?usp=drivesdk,Devon Conway,Fujifilm,day,outdoor,close,7/5/2023,2,"['a man playing pool on a pink table', 'a man wearing a black cap is playing pool', 'a man leaning over to pick up a ball from a pool table']",playing,Chennai
DSCF9430.JPG,https://drive.google.com/file/d/1RTxQbsNPFV6l9SrPHimJaMSZ5zI1yZbW/view?usp=drivesdk,Devon Conway,Fujifilm,day,indoor,close,5/7/2023,2,"['a person is standing next to a pool table', 'a woman playing pool and another man watches', 'a girl is leaning over a purple pool table']",playing,Chennai
DSCF9430.JPG,https://drive.google.com/file/d/1RTxQbsNPFV6l9SrPHimJaMSZ5zI1yZbW/view?usp=drivesdk,Devon Conway,Fujifilm,day,outdoor,close,7/5/2023,2,"['a couple of people playing pool together', 'a man and a woman are playing pool in the living room', 'a woman is laying on the pool table in a pool']",playing,Chennai
DSCF9429.JPG,https://drive.google.com/file/d/18Du35uU3cO-S9k0qzGHojCgb1eQv4vGu/view?usp=drivesdk,Devon Conway,Fujifilm,day,indoor,close,5/7/2023,2,"['a woman in white shirt on pool table with ball', 'a young woman is playing pool with another man in the background', 'there is a woman that is laying on the pool table']",playing,Chennai
DSCF9429.JPG,https://drive.google.com/file/d/18Du35uU3cO-S9k0qzGHojCgb1eQv4vGu/view?usp=drivesdk,Devon Conway,Fujifilm,day,outdoor,close,7/5/2023,2,"['a woman playing pool with her arms on the table', 'the man is leaning over to play pool', 'the man and woman are playing pool together']",playing,Chennai
DSCF9348.JPG,https://drive.google.com/file/d/1IQNopfqOwUTTW7-y8iVep1akNr9iQhsG/view?usp=drivesdk,Maheesh Theekshana,Fujifilm,night,indoor,close,6/5/2023,2,"['two men in uniforms stand near a table with cake on it', 'the man is cutting into a cake on a table', 'two men are cutting a cake and one man has an apron on']",celebrating,Chennai
DSCF9348.JPG,https://drive.google.com/file/d/1IQNopfqOwUTTW7-y8iVep1akNr9iQhsG/view?usp=drivesdk,R Russell,Fujifilm,night,indoor,close,6/5/2023,2,"['two men in uniforms stand near a table with cake on it', 'the man is cutting into a cake on a table', 'two men are cutting a cake and one man has an apron on']",celebrating,Chennai
CSK Practice-74.jpg,https://drive.google.com/file/d/1bUwvJEescls6JvVRXHP_fiasaPhtQJpF/view?usp=drivesdk,Akash Singh,Fujifilm,night,outdoor,close,8/5/2023,2,"['a man raising his arm to serve at the same time', 'two men on a court with rackets', 'two men playing cricket with one watching another']",bowling,Chennai
CSK Practice-74.jpg,https://drive.google.com/file/d/1bUwvJEescls6JvVRXHP_fiasaPhtQJpF/view?usp=drivesdk,Gregory King,Fujifilm,night,outdoor,close,8/5/2023,2,"['a man raising his arm to serve at the same time', 'two men on a court with rackets', 'two men playing cricket with one watching another']",bowling,Chennai
CSK Practice-46.jpg,https://drive.google.com/file/d/1Xxw4293jMgjqLP7qswm75v_nax2bc083/view?usp=drivesdk,Lakshmi,Fujifilm,night,outdoor,close,8/5/2023,2,"['this is a man with a yellow helmet', 'the guy has a tattoo on his arm and a cricketball cap', 'a man with a batting helmet on getting ready to play cricketball']",batting,Chennai
CSK Practice-46.jpg,https://drive.google.com/file/d/1Xxw4293jMgjqLP7qswm75v_nax2bc083/view?usp=drivesdk,Ben Stokes,Fujifilm,night,outdoor,close,8/5/2023,2,"['this is a man with a yellow helmet', 'the guy has a tattoo on his arm and a cricketball cap', 'a man with a batting helmet on getting ready to play cricketball']",batting,Chennai
CSK Practice-45.jpg,https://drive.google.com/file/d/1gBkIqJoJKYilFhunfGDXXahYA-ZlVJvS/view?usp=drivesdk,Lakshmi,Fujifilm,night,outdoor,close,8/5/2023,2,"['two cricketball players are getting ready to bat', 'a man in a yellow and blue shirt with cricketball gloves', 'a man with his arm in a bandana is holding a bat']",batting,Chennai
CSK Practice-45.jpg,https://drive.google.com/file/d/1gBkIqJoJKYilFhunfGDXXahYA-ZlVJvS/view?usp=drivesdk,Ben Stokes,Fujifilm,night,outdoor,close,8/5/2023,2,"['two cricketball players are getting ready to bat', 'a man in a yellow and blue shirt with cricketball gloves', 'a man with his arm in a bandana is holding a bat']",discussion,Chennai
CSK Practice-43.jpg,https://drive.google.com/file/d/1jZ9tQLDRF7ZRC-zmmMolNhJcDqgkNt0B/view?usp=drivesdk,Lakshmi,Fujifilm,night,outdoor,close,8/5/2023,2,"['two men standing around a tablet while wearing blue and yellow clothes', 'the two men are working on a digital device', 'two cricket players looking at a digital tablet']",discussion,Chennai
CSK Practice-43.jpg,https://drive.google.com/file/d/1jZ9tQLDRF7ZRC-zmmMolNhJcDqgkNt0B/view?usp=drivesdk,Ben Stokes,Fujifilm,night,outdoor,close,8/5/2023,2,"['two men standing around a tablet while wearing blue and yellow clothes', 'the two men are working on a digital device', 'two cricket players looking at a digital tablet']",discussion,Chennai
CSK Practice-41.jpg,https://drive.google.com/file/d/14ZX3CKmv7j1MZjTwjdd491wK1o4fpBGW/view?usp=drivesdk,Lakshmi,Fujifilm,night,outdoor,close,8/5/2023,2,"['a couple of guys that are looking at a tablet', 'two men are playing a game on an ipad', 'two men standing together using a tablet']",discussion,Chennai
CSK Practice-41.jpg,https://drive.google.com/file/d/14ZX3CKmv7j1MZjTwjdd491wK1o4fpBGW/view?usp=drivesdk,Ben Stokes,Fujifilm,night,outdoor,close,8/5/2023,2,"['a couple of guys that are looking at a tablet', 'two men are playing a game on an ipad', 'two men standing together using a tablet']",discussion,Chennai
CSK Practice 27-05-2023-51.jpg,https://drive.google.com/file/d/17iPmZ5VuuDM5MjmvnC2kVIRYH4nNDk7N/view?usp=drivesdk,Tushar Deshpande,Fujifilm,night,outdoor,close,27/05/2023,2,"['two men walking in the grass holding a cricket racket', 'a cricket player is holding a ball and some players on the field', 'a cricket player holding a ball near the end of a field']",walking,Chennai
CSK Practice 27-05-2023-51.jpg,https://drive.google.com/file/d/17iPmZ5VuuDM5MjmvnC2kVIRYH4nNDk7N/view?usp=drivesdk,Ms Dhoni,Fujifilm,night,outdoor,close,27/05/2023,2,"['two men walking in the grass holding a cricket racket', 'a cricket player is holding a ball and some players on the field', 'a cricket player holding a ball near the end of a field']",walking,Chennai
CSK Practice 27-05-2023-51.jpg,https://drive.google.com/file/d/17iPmZ5VuuDM5MjmvnC2kVIRYH4nNDk7N/view?usp=drivesdk,Devon Conway,Fujifilm,night,outdoor,close,27/05/2023,2,"['two men walking in the grass holding a cricket racket', 'a cricket player is holding a ball and some players on the field', 'a cricket player holding a ball near the end of a field']",walking,Chennai
CSK Practice 27-05-2023-46.jpg,https://drive.google.com/file/d/1-VeNtNnjpZAnjNb_auAByffTPDRbfB9L/view?usp=drivesdk,R Russell,Fujifilm,night,outdoor,close,27/05/2023,2,"['a man standing next to another man on top of a field', 'a man is talking to another person on a cricket field', 'one of the two men is wearing an oncoming jersey next to another man on an orange and blue uniform']",speaking,Chennai
CSK Practice 27-05-2023-46.jpg,https://drive.google.com/file/d/1-VeNtNnjpZAnjNb_auAByffTPDRbfB9L/view?usp=drivesdk,Suresh Raina,Fujifilm,night,outdoor,close,27/05/2023,2,"['a man standing next to another man on top of a field', 'a man is talking to another person on a cricket field', 'one of the two men is wearing an oncoming jersey next to another man on an orange and blue uniform']",speaking,Chennai
DSCF2516.JPG,https://drive.google.com/file/d/17FJoPioeybHGegLBvG1rb28kYn-xoR42/view?usp=drivesdk,Ruturaj Gaikwad,Fujifilm,day,outdoor,close,11/5/2023,3,"['two men shaking hands and one holding a trophy', 'three men holding a trophy posing for a picture', 'two men standing next to each other on stage']",award ceremony,Chennai
DSCF2516.JPG,https://drive.google.com/file/d/17FJoPioeybHGegLBvG1rb28kYn-xoR42/view?usp=drivesdk,Ajinkya Rahane,Fujifilm,day,outdoor,close,11/5/2023,3,"['two men shaking hands and one holding a trophy', 'three men holding a trophy posing for a picture', 'two men standing next to each other on stage']",award ceremony,Chennai
DSCF2515.JPG,https://drive.google.com/file/d/1AHYw2-sR6Ea_S1BNZpb4aPPMTeIpfjq9/view?usp=drivesdk,Ajinkya Rahane,Fujifilm,day,outdoor,close,11/5/2023,3,"['a man standing next to another man on a field', 'a man in yellow and white holding a trophy', 'the men are competing in the same competitive sport']",award ceremony,Chennai
DSCF2515.JPG,https://drive.google.com/file/d/1AHYw2-sR6Ea_S1BNZpb4aPPMTeIpfjq9/view?usp=drivesdk,Ruturaj Gaikwad,Fujifilm,day,outdoor,close,11/5/2023,3,"['a man standing next to another man on a field', 'a man in yellow and white holding a trophy', 'the men are competing in the same competitive sport']",award ceremony,Chennai
DSCF2513.JPG,https://drive.google.com/file/d/15IUdxAbc7nCODSzQaJ5zk6Q9PP_aX8Ve/view?usp=drivesdk,Ajinkya Rahane,Fujifilm,day,outdoor,close,11/5/2023,3,"['a man standing next to another man on stage', 'the man in the white shirt is shaking hands with the guy in the yellow shirt', 'a man receiving an award from another man']",award ceremony,Chennai
DSCF2513.JPG,https://drive.google.com/file/d/15IUdxAbc7nCODSzQaJ5zk6Q9PP_aX8Ve/view?usp=drivesdk,Simarjeet Singh,Fujifilm,day,outdoor,close,11/5/2023,3,"['a man standing next to another man on stage', 'the man in the white shirt is shaking hands with the guy in the yellow shirt', 'a man receiving an award from another man']",award ceremony,Chennai
DSCF2463.JPG,https://drive.google.com/file/d/10r7rAxUlPHObq382gFQQgzNfUn3ABbjM/view?usp=drivesdk,Ajinkya Rahane,Fujifilm,day,outdoor,close,11/5/2023,3,"['a few men are on a field wearing blue and yellow uniforms', 'three men wearing yellow and blue shirts, with cricketball hats', 'some men are standing around wearing shirts']",observing,Chennai
DSCF2463.JPG,https://drive.google.com/file/d/10r7rAxUlPHObq382gFQQgzNfUn3ABbjM/view?usp=drivesdk,Ruturaj Gaikwad,Fujifilm,day,outdoor,close,11/5/2023,3,"['a few men are on a field wearing blue and yellow uniforms', 'three men wearing yellow and blue shirts, with cricketball hats', 'some men are standing around wearing shirts']",observing,Chennai
DSCF2462.JPG,https://drive.google.com/file/d/14RboeGLbJi6uoZpnP6geDcCOT-XTubD8/view?usp=drivesdk,Ruturaj Gaikwad,Fujifilm,day,outdoor,close,11/5/2023,3,"['two men in yellow and black shirts stand next to one another', 'three men in yellow shirts and blue caps posing for a picture', 'three men standing next to each other on top of a cricket court']",observing,Chennai
DSCF2462.JPG,https://drive.google.com/file/d/14RboeGLbJi6uoZpnP6geDcCOT-XTubD8/view?usp=drivesdk,Ajinkya Rahane,Fujifilm,day,outdoor,close,11/5/2023,3,"['two men in yellow and black shirts stand next to one another', 'three men in yellow shirts and blue caps posing for a picture', 'three men standing next to each other on top of a cricket court']",observing,Chennai
DSCF2461.JPG,https://drive.google.com/file/d/135gEGkCYrXMbTIdnQvZdZe55ZWTVw_ZE/view?usp=drivesdk,Ruturaj Gaikwad,Fujifilm,day,outdoor,close,11/5/2023,3,"['two men in yellow and blue shirts, one raising his hands', 'two men with their hands up and wearing hats', 'three men standing in front of a stadium with their hands up']",observing,Chennai
DSCF2461.JPG,https://drive.google.com/file/d/135gEGkCYrXMbTIdnQvZdZe55ZWTVw_ZE/view?usp=drivesdk,Ravindra Jadeja,Fujifilm,day,outdoor,close,11/5/2023,3,"['two men in yellow and blue shirts, one raising his hands', 'two men with their hands up and wearing hats', 'three men standing in front of a stadium with their hands up']",observing,Chennai
DSCF2460.JPG,https://drive.google.com/file/d/1C1y40fqTxKUeTQ2kXIh6qyXmvNsBJk_f/view?usp=drivesdk,Ravindra Jadeja,Fujifilm,day,outdoor,close,11/5/2023,3,"['two men with arms up in front of the camera', 'three men that are standing in front of a fence', 'two men wearing yellow shirts and black caps, one of them is raising his hands with another man on his right side']",observing,Chennai
DSCF2460.JPG,https://drive.google.com/file/d/1C1y40fqTxKUeTQ2kXIh6qyXmvNsBJk_f/view?usp=drivesdk,Ruturaj Gaikwad,Fujifilm,day,outdoor,close,11/5/2023,3,"['two men with arms up in front of the camera', 'three men that are standing in front of a fence', 'two men wearing yellow shirts and black caps, one of them is raising his hands with another man on his right side']",observing,Chennai
DSCF2442.JPG,https://drive.google.com/file/d/1LcSYvVP_Pc_jtqfQJjYxMmtHH0ZBSzT0/view?usp=drivesdk,Ajinkya Rahane,Fujifilm,day,outdoor,close,11/5/2023,3,"['three young men in polo shirts posing for a photo', 'three men wearing yellow polo shirts standing in front of a blue and white sign', 'three men in polo shirts standing on grass']",observing,Chennai
DSCF2442.JPG,https://drive.google.com/file/d/1LcSYvVP_Pc_jtqfQJjYxMmtHH0ZBSzT0/view?usp=drivesdk,Ravindra Jadeja,Fujifilm,day,outdoor,close,11/5/2023,3,"['three young men in polo shirts posing for a photo', 'three men wearing yellow polo shirts standing in front of a blue and white sign', 'three men in polo shirts standing on grass']",observing,Chennai
DSCF2442.JPG,https://drive.google.com/file/d/1LcSYvVP_Pc_jtqfQJjYxMmtHH0ZBSzT0/view?usp=drivesdk,Ruturaj Gaikwad,Fujifilm,day,outdoor,close,11/5/2023,3,"['three young men in polo shirts posing for a photo', 'three men wearing yellow polo shirts standing in front of a blue and white sign', 'three men in polo shirts standing on grass']",observing,Chennai
DSCF2439.JPG,https://drive.google.com/file/d/16HQZpd_ZTgqqVKxPzCNNJjjXt0lo91oD/view?usp=drivesdk,Ravindra Jadeja,Fujifilm,day,outdoor,close,11/5/2023,3,"['three men standing up with one in a black hat', 'a couple of men with some shirts on', 'three men standing together in front of a wall']",observing,Chennai
DSCF2439.JPG,https://drive.google.com/file/d/16HQZpd_ZTgqqVKxPzCNNJjjXt0lo91oD/view?usp=drivesdk,Ruturaj Gaikwad,Fujifilm,day,outdoor,close,11/5/2023,3,"['three men standing up with one in a black hat', 'a couple of men with some shirts on', 'three men standing together in front of a wall']",observing,Chennai
DSCF2403.JPG,https://drive.google.com/file/d/1-M6uh8xSUZFYe6y4Pg0IBokpi2Xg1Tkm/view?usp=drivesdk,Ajinkya Rahane,Fujifilm,day,outdoor,close,11/5/2023,3,"['three male cricket players standing behind a banner', 'three men in yellow shirts hold up a banner', 'the players have won the cricket tournament for the fans']",observing,Chennai
DSCF2403.JPG,https://drive.google.com/file/d/1-M6uh8xSUZFYe6y4Pg0IBokpi2Xg1Tkm/view?usp=drivesdk,Ravindra Jadeja,Fujifilm,day,outdoor,close,11/5/2023,3,"['three male cricket players standing behind a banner', 'three men in yellow shirts hold up a banner', 'the players have won the cricket tournament for the fans']",observing,Chennai
DSCF2402.JPG,https://drive.google.com/file/d/1uv_NIStTnF0Ikqpi7uni4WBaEJs41Was/view?usp=drivesdk,Ruturaj Gaikwad,Fujifilm,day,outdoor,close,11/5/2023,3,"['three young men wearing yellow shirts holding a banner', 'three men are posing for a picture by a sign', 'three men in yellow shirts stand next to a large sign']",observing,Chennai
DSCF2402.JPG,https://drive.google.com/file/d/1uv_NIStTnF0Ikqpi7uni4WBaEJs41Was/view?usp=drivesdk,Ravindra Jadeja,Fujifilm,day,outdoor,close,11/5/2023,3,"['three young men wearing yellow shirts holding a banner', 'three men are posing for a picture by a sign', 'three men in yellow shirts stand next to a large sign']",observing,Chennai
DSCF2402.JPG,https://drive.google.com/file/d/1uv_NIStTnF0Ikqpi7uni4WBaEJs41Was/view?usp=drivesdk,Ajinkya Rahane,Fujifilm,day,outdoor,close,11/5/2023,3,"['three young men wearing yellow shirts holding a banner', 'three men are posing for a picture by a sign', 'three men in yellow shirts stand next to a large sign']",observing,Chennai
DSCF2393.JPG,https://drive.google.com/file/d/1-TR0wxPoisfgDX8RMYzCND9baslrnsIY/view?usp=drivesdk,Ruturaj Gaikwad,Fujifilm,day,outdoor,close,11/5/2023,3,"['the indian players in yellow are sitting down and one is smiling', 'three men in yellow uniforms sitting and posing for a picture', 'a man is sitting in front of a big photo']",observing,Chennai
DSCF2393.JPG,https://drive.google.com/file/d/1-TR0wxPoisfgDX8RMYzCND9baslrnsIY/view?usp=drivesdk,Ms Dhoni,Fujifilm,day,outdoor,close,11/5/2023,3,"['the indian players in yellow are sitting down and one is smiling', 'three men in yellow uniforms sitting and posing for a picture', 'a man is sitting in front of a big photo']",observing,Chennai
DSCF2393.JPG,https://drive.google.com/file/d/1-TR0wxPoisfgDX8RMYzCND9baslrnsIY/view?usp=drivesdk,Ajinkya Rahane,Fujifilm,day,outdoor,close,11/5/2023,3,"['the indian players in yellow are sitting down and one is smiling', 'three men in yellow uniforms sitting and posing for a picture', 'a man is sitting in front of a big photo']",observing,Chennai
DSCF2383.JPG,https://drive.google.com/file/d/18tYq8uOtyj3gmUKgDp37Wtu4YLZFAZ04/view?usp=drivesdk,Ravindra Jadeja,Fujifilm,day,outdoor,close,11/5/2023,3,"['a man with a beard talking to someone with another person in the background', 'a man in a yellow shirt is talking into a microphone', 'the man is speaking into the microphone in front of the advertising']",speaking,Chennai
DSCF2383.JPG,https://drive.google.com/file/d/18tYq8uOtyj3gmUKgDp37Wtu4YLZFAZ04/view?usp=drivesdk,Ms Dhoni,Fujifilm,day,outdoor,close,11/5/2023,3,"['a man with a beard talking to someone with another person in the background', 'a man in a yellow shirt is talking into a microphone', 'the man is speaking into the microphone in front of the advertising']",speaking,Chennai
DSCF2362.JPG,https://drive.google.com/file/d/1aaT1EJxtrMu4IcZLKpLnmpTWJ0d7vCv3/view?usp=drivesdk,Ravindra Jadeja,Fujifilm,day,outdoor,close,11/5/2023,3,"['men with a cap on walking around at a game', 'three men wearing yellow shirts and black caps are standing on a grass covered field', 'two men in yellow shirts, a man wearing a hat and shorts']",walking,Chennai
DSCF2362.JPG,https://drive.google.com/file/d/1aaT1EJxtrMu4IcZLKpLnmpTWJ0d7vCv3/view?usp=drivesdk,Ajinkya Rahane,Fujifilm,day,outdoor,close,11/5/2023,3,"['men with a cap on walking around at a game', 'three men wearing yellow shirts and black caps are standing on a grass covered field', 'two men in yellow shirts, a man wearing a hat and shorts']",walking,Chennai
DSCF2361.JPG,https://drive.google.com/file/d/1JSFZWoUPl0K31VQ5Tt-QaCNIBUSYOiiV/view?usp=drivesdk,Ravindra Jadeja,Fujifilm,day,outdoor,close,11/5/2023,3,"['several men walking together at a game', 'two men are walking on the field in a field', 'a couple of guys that are standing in the grass']",walking,Chennai
DSCF2361.JPG,https://drive.google.com/file/d/1JSFZWoUPl0K31VQ5Tt-QaCNIBUSYOiiV/view?usp=drivesdk,Ajinkya Rahane,Fujifilm,day,outdoor,close,11/5/2023,3,"['several men walking together at a game', 'two men are walking on the field in a field', 'a couple of guys that are standing in the grass']",walking,Chennai
CSK Practice-2.jpg,https://drive.google.com/file/d/1KFkSI4ZIspBekuVkM0MxvRRCICFQco5S/view?usp=drivesdk,Ajinkya Rahane,Fujifilm,day,outdoor,close,8/5/2023,3,"['two players in a field during a sport', 'the men are practicing batting on the field', 'the cricketball players are practicing their batting skills']",batting,Chennai
CSK Practice-2.jpg,https://drive.google.com/file/d/1KFkSI4ZIspBekuVkM0MxvRRCICFQco5S/view?usp=drivesdk,Gregory King,Fujifilm,day,outdoor,close,8/5/2023,3,"['two players in a field during a sport', 'the men are practicing batting on the field', 'the cricketball players are practicing their batting skills']",batting,Chennai
CSK Practice-2.jpg,https://drive.google.com/file/d/1viWI_4nwf8KsxU2YsB8qyEgOByQV8nwy/view?usp=drivesdk,Ajinkya Rahane,Fujifilm,day,outdoor,close,8/5/2023,3,"['a man in blue and yellow shirt preparing for cricket', 'several people are on a field with cricketball equipment', 'two men are on the grass, and are wearing yellow helmets']",batting,Chennai
CSK Practice-2.jpg,https://drive.google.com/file/d/1viWI_4nwf8KsxU2YsB8qyEgOByQV8nwy/view?usp=drivesdk,Gregory King,Fujifilm,day,outdoor,close,8/5/2023,3,"['a man in blue and yellow shirt preparing for cricket', 'several people are on a field with cricketball equipment', 'two men are on the grass, and are wearing yellow helmets']",batting,Chennai
CSK Practice 27-05-2023-76.jpg,https://drive.google.com/file/d/1b2e5bHwNajK0ezjTCFAmDdIw_m9lV12k/view?usp=drivesdk,Ravindra Jadeja,Fujifilm,night,outdoor,close,27/05/2023,3,"['the teams are preparing to play in the stadium', 'three men wearing yellow and blue uniforms holding bats while standing on the grass in front of an empty stadium', 'the men are playing a game of cricket']",discussion,Chennai
CSK Practice 27-05-2023-76.jpg,https://drive.google.com/file/d/1b2e5bHwNajK0ezjTCFAmDdIw_m9lV12k/view?usp=drivesdk,Ajinkya Rahane,Fujifilm,night,outdoor,close,27/05/2023,3,"['the teams are preparing to play in the stadium', 'three men wearing yellow and blue uniforms holding bats while standing on the grass in front of an empty stadium', 'the men are playing a game of cricket']",discussion,Chennai
PXL_20230521_085830123.jpg,https://drive.google.com/file/d/1YgrNytB3fnonxljuz_gxW8SBlMUcCCtY/view?usp=drivesdk,Ruturaj Gaikwad,Google,day,outdoor,close,21/05/2023,4,"['two men are going down stairs while holding luggage', 'two men walking down the stairs outside the building', 'men walking up the stairs of a building to exit their rooms']",walking,Chennai
